Note,Period
C-0,3106
C#0,2931
D-0,2767
D#0,2611
E-0,2465
F-0,2327
F#0,2196
G-0,2073
G#0,1956
A-0,1847
A#0,1743
B-0,1645
C-1,1553
C#1,1466
D-1,1383
D#1,1306
E-1,1232
F-1,1163
F#1,1098
G-1,1036
G#1,978
A-1,923
A#1,871
B-1,823
C-2,776
C#2,733
D-2,692
D#2,653
E-2,616
F-2,582
F#2,549
G-2,518
G#2,489
A-2,462
A#2,436
B-2,411
C-3,388
C#3,366
D-3,346
D#3,326
E-3,308
F-3,291
F#3,274
G-3,259
G#3,245
A-3,231
A#3,218
B-3,206
C-4,194
C#4,183
D-4,173
D#4,163
E-4,154
F-4,145
F#4,137
G-4,130
G#4,122
A-4,115
A#4,109
B-4,103
C-5,97
C#5,92
D-5,86
D#5,82
E-5,77
F-5,73
F#5,69
G-5,65
G#5,61
A-5,58
A#5,54
B-5,51
C-6,49
C#6,46
D-6,43
D#6,41
E-6,39
F-6,36
F#6,34
G-6,32
G#6,31
A-6,29
A#6,27
B-6,26
C-7,24
C#7,23
D-7,22
D#7,20
E-7,19
F-7,18
F#7,17
G-7,16
G#7,15
A-7,14
A#7,13
B-7,12
