Note,Period
C-0,3344
C#0,3157
D-0,2980
D#0,2812
E-0,2655
F-0,2506
F#0,2365
G-0,2232
G#0,2107
A-0,1989
A#0,1877
B-0,1772
C-1,1672
C#1,1578
D-1,1490
D#1,1406
E-1,1327
F-1,1253
F#1,1182
G-1,1116
G#1,1053
A-1,994
A#1,939
B-1,886
C-2,836
C#2,789
D-2,745
D#2,703
E-2,664
F-2,626
F#2,591
G-2,558
G#2,527
A-2,497
A#2,469
B-2,443
C-3,418
C#3,395
D-3,372
D#3,352
E-3,332
F-3,313
F#3,296
G-3,279
G#3,263
A-3,249
A#3,235
B-3,221
C-4,209
C#4,197
D-4,186
D#4,176
E-4,166
F-4,157
F#4,148
G-4,140
G#4,132
A-4,124
A#4,117
B-4,111
C-5,105
C#5,99
D-5,93
D#5,88
E-5,83
F-5,78
F#5,74
G-5,70
G#5,66
A-5,62
A#5,59
B-5,55
C-6,52
C#6,49
D-6,47
D#6,44
E-6,41
F-6,39
F#6,37
G-6,35
G#6,33
A-6,31
A#6,29
B-6,28
C-7,26
C#7,25
D-7,23
D#7,22
E-7,21
F-7,20
F#7,18
G-7,17
G#7,16
A-7,15
A#7,14
B-7,13
