Note,Period
C-0,3290
C#0,3106
D-0,2931
D#0,2767
E-0,2611
F-0,2465
F#0,2327
G-0,2196
G#0,2073
A-0,1956
A#0,1847
B-0,1743
C-1,1645
C#1,1553
D-1,1466
D#1,1383
E-1,1306
F-1,1232
F#1,1163
G-1,1098
G#1,1036
A-1,978
A#1,923
B-1,871
C-2,823
C#2,776
D-2,733
D#2,692
E-2,653
F-2,616
F#2,582
G-2,549
G#2,518
A-2,489
A#2,462
B-2,436
C-3,411
C#3,388
D-3,366
D#3,346
E-3,326
F-3,308
F#3,291
G-3,274
G#3,259
A-3,245
A#3,231
B-3,218
C-4,206
C#4,194
D-4,183
D#4,173
E-4,163
F-4,154
F#4,145
G-4,137
G#4,130
A-4,122
A#4,115
B-4,109
C-5,103
C#5,97
D-5,92
D#5,86
E-5,82
F-5,77
F#5,73
G-5,69
G#5,65
A-5,61
A#5,58
B-5,54
C-6,51
C#6,49
D-6,46
D#6,43
E-6,41
F-6,39
F#6,36
G-6,34
G#6,32
A-6,31
A#6,29
B-6,27
C-7,26
C#7,24
D-7,23
D#7,22
E-7,20
F-7,19
F#7,18
G-7,17
G#7,16
A-7,15
A#7,14
B-7,13
